method,dataset,budget,seed,epochs,run_id,OA,mAcc,mIoU
SSPC-Net-Improved-v1b,ODPT-HG,10,1,400,improved-v1b-seed1,0.8610885750646191,0.6957677271357658,0.5951205766388119
SSPC-Net-Improved-v1b,ODPT-HG,20,1,400,improved-v1b-seed1,0.8709717547277039,0.7164079404526834,0.6172188066454911
