method,dataset,budget,seed,epochs,run_id,OA,mAcc,mIoU
SSPC-Net,ODPT-HG,10,1,400,official-seed1,0.8679601249188068,0.7281457001947006,0.6247218552962692
SSPC-Net,ODPT-HG,20,1,400,official-seed1,0.8604586134824834,0.714310539836641,0.6070777892059215
